Date,Date.1,MSFT,NVDA,AMD,GOOG,TSLA,TM,HMC,SONY,TSM,TAK
2023-07-03,,337.989990234375,42.41299819946289,115.81999969482422,120.55999755859375,279.82000732421875,160.47000122070312,30.670000076293945,91.5500030517578,103.1500015258789,15.640000343322754
2023-07-05,,338.1499938964844,42.31700134277344,113.94999694824219,122.62999725341797,282.4800109863281,161.89999389648438,30.450000762939453,91.43000030517578,100.98999786376952,15.609999656677246
2023-07-06,,341.2699890136719,42.10300064086914,113.4800033569336,120.93000030517578,276.5400085449219,160.8300018310547,30.100000381469727,90.48999786376952,99.41000366210938,15.4399995803833
2023-07-07,,337.2200012207031,42.50299835205078,113.16999816894531,120.13999938964844,274.42999267578125,161.77000427246094,30.18000030517578,91.04000091552734,100.2300033569336,15.479999542236328
2023-07-10,,331.8299865722656,42.18000030517578,113.58000183105469,116.87000274658203,269.6099853515625,160.24000549316406,29.850000381469727,90.7300033569336,99.7699966430664,15.539999961853027
2023-07-11,,332.4700012207031,42.404998779296875,111.31999969482422,117.70999908447266,269.7900085449219,158.4199981689453,29.940000534057617,89.63999938964844,101.26000213623048,15.479999542236328
2023-07-12,,337.20001220703125,43.902000427246094,114.58000183105469,119.62000274658203,271.989990234375,159.27000427246094,30.25,91.23999786376952,103.9000015258789,15.59000015258789
2023-07-13,,342.6600036621094,45.97700119018555,115.91999816894531,124.83000183105469,277.8999938964844,160.35000610351562,30.38999938964844,93.80999755859376,105.56999969482422,15.619999885559082
2023-07-14,,345.239990234375,45.46900177001953,115.94000244140625,125.69999694824219,281.3800048828125,159.14999389648438,30.229999542236328,92.38999938964844,105.13999938964844,15.380000114440918
2023-07-17,,345.7300109863281,46.46099853515625,118.31999969482422,125.05999755859375,290.3800048828125,159.4499969482422,30.15999984741211,93.56999969482422,104.79000091552734,15.270000457763672
2023-07-18,,359.489990234375,47.49399948120117,117.93000030517578,124.08000183105469,293.3399963378906,163.19000244140625,30.75,95.0999984741211,103.1500015258789,15.43000030517578
2023-07-19,,355.0799865722656,47.07699966430664,116.43000030517578,122.77999877929688,291.260009765625,163.97000122070312,30.979999542236328,94.56999969482422,103.05999755859376,15.4399995803833
2023-07-20,,346.8699951171875,45.52000045776367,110.25,119.52999877929688,262.8999938964844,163.27999877929688,30.920000076293945,93.25,97.86000061035156,15.350000381469728
